MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
98.44693797,537.8864998,13435.06221,173.6873356,498.5619605,29575.75883,583.2325671,432.5524522,49716.13199,5185.48785,395.3212786,57228.99445,10239.96065,392.3085578,57715.85,98.44693797,537.8864998,13435.06221,173.6873356,498.5619605,29575.75883,583.2325671,432.5524522,49716.13199,5185.48785,395.3212786,57228.99445,10239.96065,392.3085578,57715.85,92.97719882,566,0,566,0,0,0,150.5388506,566,1.32E-05,566,1.75E-10,0,0,429.4162497,565.9999999,0.005675023,565.9999999,3.22E-05,0,0,3436.489481,565.972376,3.738583032,565.972376,13.97700309,0,0,6725.657462,565.9363584,5.674380039,565.9363584,32.19858882,0,0,92.97719882,0.003166207,2.84E-05,150.5388506,0.00324486,4.05E-05,429.4162497,0.057581413,81714333.6,3436.489481,72618.10665,1.09E+14,6725.657462,187263.7792,2.82E+14,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
96.54572865,538.1776934,13304.00639,171.5978649,498.9549609,29429.75251,580.7537673,432.7822356,49661.13699,5183.386535,395.3542066,57223.57263,10240.34806,392.3255192,57713.15965,96.54572865,538.1776934,13304.00639,171.5978649,498.9549609,29429.75251,580.7537673,432.7822356,49661.13699,5183.386535,395.3542066,57223.57263,10240.34806,392.3255192,57713.15965,91.23718149,566,1.08E-05,566,1.16E-10,0,0,148.8611346,566,1.32E-05,566,1.75E-10,0,0,427.8549161,565.9999999,0.005668383,565.9999999,3.21E-05,0,0,3435.4342,565.972384,3.738038901,565.972384,13.97293483,0,0,6726.255108,565.9363679,5.673958268,565.9363679,32.19380242,0,0,91.23718149,0.003226103,2.84E-05,148.8611346,0.003281042,4.04E-05,427.8549161,0.057467004,81523347.52,3435.4342,72596.96868,1.09E+14,6726.255108,187235.9385,2.82E+14,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
97.54405338,538.4629215,13175.47102,172.5960784,499.3434115,29285.13301,581.7517518,433.0112298,49606.22582,5184.384736,395.387122,57218.15073,10241.3477,392.3424774,57710.46926,97.54405338,538.4629215,13175.47102,172.5960784,499.3434115,29285.13301,581.7517518,433.0112298,49606.22582,5184.384736,395.387122,57218.15073,10241.3477,392.3424774,57710.46926,92.23559834,566,0,566,0,0,0,149.8595847,566,1.32E-05,566,1.75E-10,0,0,428.8534313,565.9999999,0.005661766,565.9999999,3.21E-05,0,0,3436.433008,565.972392,3.737495008,565.972392,13.96886893,0,0,6727.254875,565.9363773,5.673536591,565.9363773,32.18901745,0,0,92.23559834,0.003191181,2.82E-05,149.8595847,0.003259182,4.02E-05,428.8534313,0.057333014,81333251.46,3436.433008,72575.843,1.09E+14,6727.254875,187208.1061,2.82E+14,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
98.54244139,538.7423654,13049.38448,173.594367,499.7273904,29141.88166,582.749829,433.2394388,49551.39859,5185.383023,395.4200246,57212.72876,10242.34736,392.3594323,57707.77881,98.54244139,538.7423654,13049.38448,173.594367,499.7273904,29141.88166,582.749829,433.2394388,49551.39859,5185.383023,395.4200246,57212.72876,10242.34736,392.3594323,57707.77881,93.23407407,566,0,566,0,0,0,150.8580988,566,1.32E-05,566,1.75E-10,0,0,429.8520138,565.9999999,0.005655178,565.9999999,3.20E-05,0,0,3437.431872,565.9724001,3.736951352,565.9724001,13.9648054,0,0,6728.254652,565.9363868,5.673115008,565.9363868,32.18423389,0,0,93.23407407,0.003157005,2.80E-05,150.8580988,0.003237609,4.00E-05,429.8520138,0.057199646,81144039.25,3437.431872,72554.72961,1.09E+14,6728.254652,187180.2819,2.82E+14,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,1505661693,0,1,1505661693,0,1,1505661693,0,1,1505661693,0,1,1505661693,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
1.680222861,172.1409171,18487.44875,1.793580037,182.5602793,18928.1753,1.925827859,193.1657529,19153.79581,1.992322924,197.9663139,19181.96518,1.999229627,198.4466311,19182.24715,1.680222861,172.1409171,18487.44875,1.793580037,182.5602793,18928.1753,1.925827859,193.1657529,19153.79581,1.992322924,197.9663139,19181.96518,1.999229627,198.4466311,19182.24715,1,60,0,524.3996476,31826.30757,0,0,1,60,0,483.0852644,46402.70352,0,0,1,60,0,437.9020812,58393.63076,0,0,1,60,0,419.5586605,62080.60969,0,0,1,60,0,417.8533333,62388.64923,0,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
2.60407635,134.0694846,13713.02497,2.744358112,142.6382739,14811.1519,2.908047113,151.8439489,15825.28944,2.990475769,156.1782094,16243.47257,2.999044194,156.6177607,16283.76343,2.60407635,134.0694846,13713.02497,2.744358112,142.6382739,14811.1519,2.908047113,151.8439489,15825.28944,2.990475769,156.1782094,16243.47257,2.999044194,156.6177607,16283.76343,1.954680707,66.65070257,6.498252745,90.04581593,292.645478,-2.283284908,-0.020647957,1.972556605,66.59043191,6.499370898,96.71555828,5271.527812,-42.63271434,-0.090346303,1.99076722,66.5301457,6.499930095,209.0802687,54150.01241,-497.5154972,-0.328926386,1.999072863,66.50301459,6.499999301,321.9711993,70125.57705,-597.5677547,-0.34716478,1.999907248,66.50030146,6.499999993,330.7991981,70224.10262,-576.7770065,-0.33485094,1.954680707,735376457.4,5.66E+17,1.972556605,742357012.6,5.67E+17,1.99076722,749339369.6,5.67E+17,1.999072863,752481698.1,5.67E+17,1.999907248,752795933.5,5.67E+17,1,73,0,73,0,0,0,1,73,0,73,0,0,0,1,73,0,73,0,0,0,1,73,0,73,0,0,0,1,73,0,73,0,0,0
3.103820342,119.8710195,9719.035896,3.414647524,127.2228398,11047.4235,3.786585838,135.5115715,12389.29863,3.977744194,139.541089,12984.1046,3.997764936,139.9540094,13042.96779,3.103820342,119.8710195,9719.035896,3.414647524,127.2228398,11047.4235,3.786585838,135.5115715,12389.29863,3.977744194,139.541089,12984.1046,3.997764936,139.9540094,13042.96779,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,1505661697,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0,1,90,0,90,0,0,0
1.031666816,292.532365,1242.373167,1.218057271,267.4273805,6264.135802,2.513524203,200.1572305,13785.35411,4.629200875,173.7713838,14431.66042,4.961272054,171.8099505,14433.9142,1.031666816,292.532365,1242.373167,1.218057271,267.4273805,6264.135802,2.513524203,200.1572305,13785.35411,4.629200875,173.7713838,14431.66042,4.961272054,171.8099505,14433.9142,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,1505661698,0,1,1505661698,0,1,1505661698,0,1,1505661698,0,1,1505661698,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0,1,298,0,298,0,0,0
1.000002812,60.00065385,0.155535169,1.000558397,60.1157622,27.49477269,1.19380942,82.75387606,4909.369653,4.5827393,148.9453188,13490.68862,5.835751337,152.6504723,13735.68886,1.000002812,60.00065385,0.155535169,1.000558397,60.1157622,27.49477269,1.19380942,82.75387606,4909.369653,4.5827393,148.9453188,13490.68862,5.835751337,152.6504723,13735.68886,1.000000044,60.00000029,0.001948517,84.85281502,8.53E-05,2.61E-06,0.145289035,1.000050809,60.00033484,0.065975588,84.85434898,0.227133389,0.001590547,0.050589757,1.058792895,60.36260743,2.140657006,90.59920456,3234.122491,-30.4499235,-0.250127306,2.405591299,63.79972306,5.912571728,229.2343626,55056.19783,-604.9532303,-0.436056047,2.930691559,64.28229205,6.109973113,251.2965093,59337.17082,-707.4229603,-0.475309481,1.000000044,37.37446049,48622214056,1.000050809,37721.74862,5.68E+13,1.058792895,41609493.17,6.09E+16,2.405591299,439676404.3,4.69E+17,2.930691559,495929622.8,5.01E+17,1,60,0,84.85281374,4.55E-13,0,0,1,60,0,84.85281374,4.55E-13,0,0,1,60,0,84.85281374,4.55E-13,0,0,1,60,0,84.85281374,9.09E-13,0,0,1,60,0,84.85281374,0,0,0
1.899642248,69.47577801,80.84172083,1.939038966,69.33901048,93.19764185,2.168822937,80.56196081,2651.375086,5.573056051,136.2152622,11811.07367,6.834517079,141.7279051,12422.00853,1.899642248,69.47577801,80.84172083,1.939038966,69.33901048,93.19764185,2.168822937,80.56196081,2651.375086,5.573056051,136.2152622,11811.07367,6.834517079,141.7279051,12422.00853,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0
2.893286338,72.42198554,69.33456829,2.935143721,72.28979938,78.29491194,3.167369682,79.75310013,1815.702595,6.572682507,127.3581081,10451.25164,7.834471268,133.5936095,11288.66539,2.893286338,72.42198554,69.33456829,2.935143721,72.28979938,78.29491194,3.167369682,79.75310013,1815.702595,6.572682507,127.3581081,10451.25164,7.834471268,133.5936095,11288.66539,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0
3.892244176,73.85509564,57.46115292,3.934509332,73.74111138,64.57635163,4.167141471,79.33240404,1380.544161,7.572635149,120.8401514,9350.34784,8.834465623,127.3008,10321.10761,3.892244176,73.85509564,57.46115292,3.934509332,73.74111138,64.57635163,4.167141471,79.33240404,1380.544161,7.572635149,120.8401514,9350.34784,8.834465623,127.3008,10321.10761,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0
4.884738507,74.70363735,48.49485003,4.929955272,74.60499115,54.4104608,5.165533076,79.07446279,1113.560575,8.572342816,115.8426668,8448.708412,9.834431518,122.2877191,9493.638568,4.884738507,74.70363735,48.49485003,4.929955272,74.60499115,54.4104608,5.165533076,79.07446279,1113.560575,8.572342816,115.8426668,8448.708412,9.834431518,122.2877191,9493.638568,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0
5.884552844,75.26380951,41.78654526,5.929842842,75.17752047,46.85071276,6.165493808,78.90019244,933.1057104,9.5723363,111.8893302,7700.067166,10.83443077,118.2000361,8781.716472,5.884552844,75.26380951,41.78654526,5.929842842,75.17752047,46.85071276,6.165493808,78.90019244,933.1057104,9.5723363,111.8893302,7700.067166,10.83443077,118.2000361,8781.716472,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0,1,78,0,78,0,0,0
3.069809435,129.5786437,6134.321775,4.167913543,115.2029379,5110.715249,6.002778157,106.0709129,4470.9513,10.37437421,124.4308741,8432.345604,11.81181318,128.6810657,9225.946619,3.069809435,129.5786437,6134.321775,4.167913543,115.2029379,5110.715249,6.002778157,106.0709129,4470.9513,10.37437421,124.4308741,8432.345604,11.81181318,128.6810657,9225.946619,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,1505661702,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0,1,242,0,242,0,0,0
